,Unnamed: 0,Unnamed: 0.1,time_point,area,aqi,quality,primary_pollutant,pm2_5,pm2_5_24h,pm10,pm10_24h,co,co_24h,no2,no2_24h,o3,o3_24h,o3_8h,o3_8h_24h,so2,so2_24h,province
200,200,200,2018-09-07T09:00:00Z,汕头,49.0,优,,34.0,27.0,43.0,39.0,0.76,0.667,16.0,13.0,70.0,124.0,60.0,68.0,16.0,10.0,广东省
201,201,201,2018-09-07T09:00:00Z,汕尾,33.0,优,,23.0,27.0,0.0,45.0,0.6,0.6,8.0,8.0,72.0,136.0,65.0,96.0,6.0,6.0,广东省
202,202,202,2018-09-07T09:00:00Z,江门,60.0,良,颗粒物(PM10),37.0,26.0,67.0,52.0,0.975,0.8,34.0,22.0,48.0,130.0,28.0,47.0,12.0,5.0,广东省
203,203,203,2018-09-07T09:00:00Z,江阴,80.0,良,颗粒物(PM2.5),58.0,64.0,81.0,96.0,1.0,1.133,32.0,44.0,66.0,266.0,51.0,55.0,19.0,24.0,江苏省
204,204,204,2018-09-07T09:00:00Z,池州,51.0,良,颗粒物(PM10),30.0,43.0,50.0,67.0,0.5670000000000001,0.7,25.0,26.0,49.0,190.0,37.0,46.0,7.0,12.0,安徽省
205,205,205,2018-09-07T09:00:00Z,沈阳,26.0,优,,12.0,14.0,25.0,32.0,0.47,0.58,25.0,30.0,26.0,73.0,14.0,18.0,15.0,12.0,辽宁省
206,206,206,2018-09-07T09:00:00Z,沧州,34.0,优,,17.0,22.0,33.0,52.0,0.233,0.4,22.0,24.0,43.0,136.0,31.0,39.0,14.0,16.0,河北省
207,207,207,2018-09-07T09:00:00Z,河池,36.0,优,,25.0,23.0,12.0,48.0,0.5329999999999999,0.5670000000000001,12.0,16.0,45.0,96.0,30.0,30.0,4.0,5.0,广西壮族自治区
208,208,208,2018-09-07T09:00:00Z,河源,35.0,优,,24.0,18.0,34.0,36.0,0.967,0.7,21.0,15.0,46.0,126.0,36.0,66.0,9.0,6.0,广东省
209,209,209,2018-09-07T09:00:00Z,泉州,54.0,良,颗粒物(PM10),34.0,25.0,55.0,48.0,0.575,0.5,25.0,21.0,36.0,140.0,27.0,31.0,15.0,10.0,福建省
